Time,ped_n,ped_e,ego_n,ego_e,Velocity,ObjectAbsVel,flag,left_e,left_n,right_e,right_n
1626243959420.0,50.61725234985352,-141.73500061035156,20.407642364501953,-126.83759307861328,2.3256172839506166,1.160729329421067,3.0,-126.83759307861328,20.407642364501953,-125.56649812059842,19.6019487539543
1626243959519.0,50.71044540405274,-141.7646026611328,21.105844497680664,-127.28665161132812,2.2955246913580245,1.150282083298374,3.0,-127.28665161132812,21.105844497680664,-126.01676973577094,20.30131317875964
1626243959619.0,50.933494567871094,-141.89585876464844,21.806276321411133,-127.7264633178711,2.2592592592592595,1.136109212790542,3.0,-127.7264633178711,21.806276321411133,-126.46585988985892,21.00832949846232
1626243959717.0,51.0234260559082,-141.9281463623047,22.482318878173828,-128.16819763183594,2.213734567901235,1.1287126448458358,3.0,-128.16819763183594,22.482318878173828,-126.90363326066999,21.682212755301585
1626243959837.0,51.14007186889648,-141.9409637451172,23.221345901489247,-128.63804626464844,2.1689814814814814,1.0932487982910375,3.0,-128.63804626464844,23.221345901489247,-127.37712496289744,22.42407722818608
1626243959936.0,51.19036865234375,-142.00852966308594,23.810733795166016,-129.01296997070312,2.130401234567901,1.0690784248444478,3.0,-129.01296997070312,23.810733795166016,-127.7568950236106,23.01708642857257
1626243960023.0,51.26800155639648,-142.0427703857422,24.42422294616699,-129.4033203125,2.091820987654321,1.0613715964156496,3.0,-129.4033203125,24.42422294616699,-128.14981788019043,23.632657166052642
1626243960123.0,51.41643142700195,-142.1873016357422,25.09689521789551,-129.83851623535156,2.060956790123457,1.0399899940990216,3.0,-129.83851623535156,25.09689521789551,-128.57923479994759,24.302278830835267
1626243960222.0,51.53348922729492,-142.23605346679688,25.720991134643555,-130.23320007324222,2.030092592592593,1.0669004124573034,3.0,-130.23320007324222,25.720991134643555,-128.97294811969616,24.926120226557803
1626243960320.0,51.60134506225586,-142.32508850097656,26.33711814880371,-130.62898254394528,1.9961419753086416,1.058158881865244,3.0,-130.62898254394528,26.33711814880371,-129.3585116287552,25.536972120746373
1626243960435.0,51.66833877563477,-142.32386779785156,26.99347686767578,-131.05014038085938,1.9583333333333333,1.0562625745278695,3.0,-131.05014038085938,26.99347686767578,-129.77014835927608,26.18862230433515
1626243960524.0,51.64656066894531,-142.36598205566406,27.50906181335449,-131.37748718261722,1.92283950617284,1.1288917038090058,3.0,-131.37748718261722,27.50906181335449,-130.094927853036,26.703155200882076
1626243960622.0,51.75371170043945,-142.40847778320312,28.12313270568848,-131.76681518554688,1.884259259259259,1.1382091853266731,3.0,-131.76681518554688,28.12313270568848,-130.4797286510379,27.315616137051425
